insurance_company,invoice_date,invoice_amount
Ultricies Foundation,2022-07-29,890.47
Morbi Quis Urna Industries,2022-01-05,104.3
Pellentesque Habitant PC,2021-05-11,779.21
Lorem Luctus PC,2022-05-05,154.09
Risus Industries,2022-05-05,154.09
Vitae Foundation,2021-05-11,779.21
Dictum Phasellus Industries,2022-01-05,104.3
Ridiculus Mus Industries,2022-06-11,372.23
Nec Luctus Institute,2022-07-29,890.47
Ut Cursus Incorporated,2021-10-29,289.5
Proin Vel Arcu LLC,2021-10-29,289.5
Sollicitudin Adipiscing Ligula Ltd,2022-06-11,372.23
