invoice_id,insurance_company,insurance_number,invoice_date,invoice_amount,invoice_payment_type,insurance_id
12,Ultricies Foundation,497444,2022-07-29,890.47,dictum,12
15,Morbi Quis Urna Industries,268409,2022-01-05,104.3,pede,15
13,Pellentesque Habitant PC,758199,2021-05-11,779.21,Duis,13
9,Lorem Luctus PC,694264,2022-05-05,154.09,malesuada,9
19,Risus Industries,924555,2022-05-05,154.09,malesuada,19
3,Vitae Foundation,114049,2021-05-11,779.21,Duis,3
5,Dictum Phasellus Industries,757029,2022-01-05,104.3,pede,5
7,Ridiculus Mus Industries,677764,2022-06-11,372.23,odio.,7
2,Nec Luctus Institute,158970,2022-07-29,890.47,dictum,2
20,Ut Cursus Incorporated,206509,2021-10-29,289.5,rutrum,20
10,Proin Vel Arcu LLC,291462,2021-10-29,289.5,rutrum,10
17,Sollicitudin Adipiscing Ligula Ltd,183008,2022-06-11,372.23,odio.,17
